date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,break_time,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2025-11-19,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.31097,1.31046,5.1,2025-11-19 15:05:00,2025-11-19 15:10:00,1.31046,1.31117,1.30833,7.1,LOSS,-7.1,2025-11-19 15:15:00,1.31117,SL Hit
2025-11-20,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.40595,1.40522,7.3,2025-11-20 11:30:00,2025-11-20 11:45:00,1.40595,1.40502,1.40781,9.3,LOSS,-9.3,2025-11-20 13:30:00,1.40502,SL Hit
2025-11-20,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.15205,1.15146,5.9,2025-11-20 11:45:00,2025-11-20 12:00:00,1.15146,1.15225,1.14988,7.9,LOSS,-7.9,2025-11-20 13:30:00,1.15225,SL Hit
2025-11-24,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.41133,1.41068,6.5,2025-11-24 16:15:00,2025-11-24 16:30:00,1.41133,1.41048,1.41388,8.5,LOSS,-8.5,2025-11-24 18:45:00,1.41048,SL Hit
2025-11-26,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.32107,1.31951,15.6,2025-11-26 15:05:00,2025-11-26 15:20:00,1.32107,1.31931,1.32635,17.6,WIN,33.5,2025-11-26 23:55:00,1.32442,EOD Close
2025-11-27,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,SHORT,1.40475,1.4045,2.5,2025-11-27 12:00:00,2025-11-27 13:30:00,1.4045,1.40495,1.4036,4.5,WIN,9.0,2025-11-27 15:00:00,1.4036000000000004,TP Hit
2025-11-27,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.15847,1.15812,3.5,2025-11-27 11:45:00,2025-11-27 12:00:00,1.15847,1.15792,1.15957,5.5,WIN,11.0,2025-11-27 13:45:00,1.1595700000000002,TP Hit
2025-11-27,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.32553,1.3252,3.3,2025-11-27 04:00:00,2025-11-27 04:05:00,1.32553,1.325,1.32659,5.3,WIN,10.6,2025-11-27 04:30:00,1.3265900000000004,TP Hit
2025-11-28,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.39594,1.39363,23.1,2025-11-28 16:15:00,2025-11-28 21:30:00,1.39594,1.39343,1.40222,25.1,LOSS,-2.9,2025-11-28 21:45:00,1.39565,EOD Close
2025-12-03,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33181,1.33044,13.7,2025-12-03 15:20:00,2025-12-03 15:35:00,1.33181,1.33024,1.33652,15.7,WIN,29.1,2025-12-03 23:55:00,1.33472,EOD Close
