<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.04	08:30:00	1.15610	1.15611	1.15491	1.15507	825	0	9
2025.08.04	08:45:00	1.15509	1.15593	1.15501	1.15576	746	0	9
2025.08.04	09:00:00	1.15574	1.15691	1.15549	1.15679	861	0	9
2025.08.04	09:15:00	1.15679	1.15733	1.15662	1.15704	858	0	9
2025.08.04	09:30:00	1.15702	1.15770	1.15694	1.15722	672	0	9
2025.08.04	09:45:00	1.15721	1.15721	1.15625	1.15640	752	0	9
2025.08.04	10:00:00	1.15641	1.15657	1.15597	1.15618	720	0	9
2025.08.04	10:15:00	1.15618	1.15633	1.15543	1.15595	603	0	9
2025.08.04	10:30:00	1.15592	1.15634	1.15557	1.15610	650	0	9
2025.08.04	10:45:00	1.15607	1.15768	1.15592	1.15733	769	0	9
2025.08.04	11:00:00	1.15734	1.15829	1.15728	1.15827	924	0	9
2025.08.04	11:15:00	1.15828	1.15860	1.15769	1.15791	780	0	9
2025.08.04	11:30:00	1.15791	1.15796	1.15671	1.15675	703	0	9
2025.08.04	11:45:00	1.15675	1.15718	1.15643	1.15663	833	0	9
2025.08.04	12:00:00	1.15666	1.15690	1.15602	1.15644	1021	0	9
2025.08.04	12:15:00	1.15645	1.15841	1.15633	1.15836	979	0	9
2025.08.04	12:30:00	1.15836	1.15873	1.15781	1.15844	974	0	9
2025.08.04	12:45:00	1.15844	1.15883	1.15716	1.15750	966	0	9
2025.08.04	13:00:00	1.15750	1.15877	1.15726	1.15864	981	0	9
2025.08.04	13:15:00	1.15864	1.15882	1.15805	1.15856	902	0	9
2025.08.04	13:30:00	1.15856	1.15874	1.15751	1.15777	1377	0	9
2025.08.04	13:45:00	1.15774	1.15823	1.15725	1.15751	1256	0	9
2025.08.04	14:00:00	1.15757	1.15818	1.15660	1.15768	1610	0	9
2025.08.04	14:15:00	1.15771	1.15869	1.15700	1.15822	1276	0	9
2025.08.04	14:30:00	1.15822	1.15854	1.15737	1.15740	1144	0	9
2025.08.04	14:45:00	1.15742	1.15772	1.15564	1.15636	1611	0	9
2025.08.04	15:00:00	1.15634	1.15746	1.15605	1.15720	1421	0	9
2025.08.04	15:15:00	1.15717	1.15749	1.15632	1.15652	985	0	9
2025.08.04	15:30:00	1.15655	1.15753	1.15617	1.15717	1025	0	9
2025.08.04	15:45:00	1.15717	1.15763	1.15654	1.15667	901	0	9
2025.08.04	16:00:00	1.15670	1.15698	1.15607	1.15638	722	0	9
2025.08.04	16:15:00	1.15638	1.15654	1.15565	1.15644	660	0	9
2025.08.04	16:30:00	1.15644	1.15688	1.15604	1.15672	634	0	9
2025.08.04	16:45:00	1.15672	1.15748	1.15658	1.15717	601	0	9
2025.08.04	17:00:00	1.15715	1.15727	1.15648	1.15682	596	0	9
2025.08.04	17:15:00	1.15683	1.15734	1.15676	1.15685	471	0	9
2025.08.04	17:30:00	1.15685	1.15714	1.15640	1.15646	454	0	9
2025.08.04	17:45:00	1.15646	1.15737	1.15639	1.15727	678	0	9
2025.08.04	18:00:00	1.15727	1.15754	1.15713	1.15745	528	0	9
2025.08.04	18:15:00	1.15742	1.15775	1.15709	1.15719	539	0	9
2025.08.04	18:30:00	1.15721	1.15725	1.15657	1.15693	546	0	9
2025.08.04	18:45:00	1.15693	1.15703	1.15637	1.15651	563	0	9
2025.08.04	19:00:00	1.15650	1.15706	1.15637	1.15675	508	0	9
2025.08.04	19:15:00	1.15674	1.15721	1.15670	1.15710	390	0	9
2025.08.04	19:30:00	1.15710	1.15722	1.15656	1.15674	390	0	9
2025.08.04	19:45:00	1.15674	1.15682	1.15626	1.15672	557	0	9
2025.08.04	20:00:00	1.15675	1.15716	1.15650	1.15716	386	0	9
2025.08.04	20:15:00	1.15716	1.15757	1.15710	1.15751	300	0	9
2025.08.04	20:30:00	1.15751	1.15753	1.15710	1.15719	267	0	9
2025.08.04	20:45:00	1.15718	1.15751	1.15694	1.15713	258	0	9
2025.08.04	21:00:00	1.15716	1.15722	1.15691	1.15698	128	0	9
2025.08.04	21:15:00	1.15698	1.15705	1.15680	1.15680	116	0	53
2025.08.04	21:30:00	1.15678	1.15692	1.15655	1.15675	243	0	53
2025.08.04	21:45:00	1.15675	1.15693	1.15675	1.15675	94	0	22
2025.08.04	22:00:00	1.15681	1.15775	1.15666	1.15753	301	0	9
2025.08.04	22:15:00	1.15753	1.15792	1.15747	1.15791	226	0	9
2025.08.04	22:30:00	1.15791	1.15810	1.15763	1.15787	246	0	9
2025.08.04	22:45:00	1.15787	1.15805	1.15770	1.15787	153	0	9
2025.08.04	23:00:00	1.15787	1.15850	1.15772	1.15844	320	0	9
2025.08.04	23:15:00	1.15844	1.15849	1.15814	1.15844	217	0	9
2025.08.04	23:30:00	1.15845	1.15850	1.15816	1.15824	191	0	9
2025.08.04	23:45:00	1.15825	1.15845	1.15813	1.15835	248	0	9
2025.08.05	00:00:00	1.15835	1.15875	1.15835	1.15856	430	0	9
2025.08.05	00:15:00	1.15856	1.15862	1.15786	1.15788	342	0	9
2025.08.05	00:30:00	1.15788	1.15794	1.15743	1.15754	424	0	9
2025.08.05	00:45:00	1.15754	1.15765	1.15705	1.15717	642	0	9
2025.08.05	01:00:00	1.15715	1.15739	1.15592	1.15604	590	0	9
2025.08.05	01:15:00	1.15604	1.15676	1.15594	1.15670	555	0	9
2025.08.05	01:30:00	1.15673	1.15694	1.15640	1.15690	478	0	9
2025.08.05	01:45:00	1.15690	1.15732	1.15628	1.15635	566	0	9
2025.08.05	02:00:00	1.15635	1.15640	1.15568	1.15602	487	0	9
2025.08.05	02:15:00	1.15603	1.15625	1.15577	1.15592	425	0	9
2025.08.05	02:30:00	1.15591	1.15596	1.15555	1.15573	402	0	9
2025.08.05	02:45:00	1.15573	1.15611	1.15573	1.15599	334	0	9
2025.08.05	03:00:00	1.15598	1.15612	1.15575	1.15599	313	0	9
2025.08.05	03:15:00	1.15597	1.15607	1.15536	1.15574	411	0	9
2025.08.05	03:30:00	1.15574	1.15605	1.15550	1.15603	271	0	9
2025.08.05	03:45:00	1.15601	1.15610	1.15542	1.15550	300	0	9
2025.08.05	04:00:00	1.15550	1.15572	1.15537	1.15555	271	0	9
2025.08.05	04:15:00	1.15555	1.15574	1.15539	1.15555	286	0	9
2025.08.05	04:30:00	1.15554	1.15599	1.15551	1.15581	340	0	9
2025.08.05	04:45:00	1.15582	1.15600	1.15573	1.15579	283	0	9
2025.08.05	05:00:00	1.15577	1.15577	1.15542	1.15560	316	0	9
2025.08.05	05:15:00	1.15559	1.15564	1.15514	1.15534	364	0	9
2025.08.05	05:30:00	1.15534	1.15541	1.15438	1.15480	613	0	9
2025.08.05	05:45:00	1.15478	1.15506	1.15461	1.15478	468	0	9
2025.08.05	06:00:00	1.15475	1.15491	1.15423	1.15491	666	0	9
2025.08.05	06:15:00	1.15491	1.15610	1.15476	1.15554	712	0	9
2025.08.05	06:30:00	1.15553	1.15554	1.15484	1.15495	536	0	9
2025.08.05	06:45:00	1.15496	1.15518	1.15452	1.15506	587	0	9
2025.08.05	07:00:00	1.15505	1.15563	1.15477	1.15551	758	0	9
2025.08.05	07:15:00	1.15553	1.15618	1.15553	1.15590	713	0	9
2025.08.05	07:30:00	1.15590	1.15601	1.15515	1.15561	666	0	9
2025.08.05	07:45:00	1.15558	1.15558	1.15328	1.15457	1163	0	9
2025.08.05	08:00:00	1.15457	1.15488	1.15412	1.15421	980	0	9
2025.08.05	08:15:00	1.15423	1.15455	1.15367	1.15424	866	0	9
2025.08.05	08:30:00	1.15424	1.15442	1.15344	1.15346	695	0	9
2025.08.05	08:45:00	1.15347	1.15369	1.15307	1.15363	855	0	9
2025.08.05	09:00:00	1.15365	1.15383	1.15293	1.15379	754	0	9
